run,kind,step,checkpoint
attn_only,dense_mlp_control,0,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_01_attn_only_ckpt/ckpt_iter000000.pt
attn_only,dense_mlp_control,250,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_01_attn_only_ckpt/ckpt_iter000250.pt
attn_only,dense_mlp_control,500,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_01_attn_only_ckpt/ckpt_iter000500.pt
attn_only,dense_mlp_control,750,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_01_attn_only_ckpt/ckpt_iter000750.pt
cproj_group12,generated_input_grouped,0,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_02_cproj_group12_only_ckpt/ckpt_iter000000.pt
cproj_group12,generated_input_grouped,250,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_02_cproj_group12_only_ckpt/ckpt_iter000250.pt
cproj_group12,generated_input_grouped,500,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_02_cproj_group12_only_ckpt/ckpt_iter000500.pt
cproj_group12,generated_input_grouped,750,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_02_cproj_group12_only_ckpt/ckpt_iter000750.pt
cproj_outg12,generated_output_grouped,0,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_03_cproj_outg12_only_ckpt/ckpt_iter000000.pt
cproj_outg12,generated_output_grouped,250,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_03_cproj_outg12_only_ckpt/ckpt_iter000250.pt
cproj_outg12,generated_output_grouped,500,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_03_cproj_outg12_only_ckpt/ckpt_iter000500.pt
cproj_outg12,generated_output_grouped,750,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_03_cproj_outg12_only_ckpt/ckpt_iter000750.pt
cproj_outg16,generated_output_grouped,0,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_04_cproj_outg16_only_ckpt/ckpt_iter000000.pt
cproj_outg16,generated_output_grouped,250,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_04_cproj_outg16_only_ckpt/ckpt_iter000250.pt
cproj_outg16,generated_output_grouped,500,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_04_cproj_outg16_only_ckpt/ckpt_iter000500.pt
cproj_outg16,generated_output_grouped,750,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_04_cproj_outg16_only_ckpt/ckpt_iter000750.pt
g12_pregain_cproj_group12,generated_paired_input_grouped,0,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_05_g12_pregain_cproj_group12_ckpt/ckpt_model_iter000000.pt
g12_pregain_cproj_group12,generated_paired_input_grouped,250,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_05_g12_pregain_cproj_group12_ckpt/ckpt_model_iter000250.pt
g12_pregain_cproj_group12,generated_paired_input_grouped,500,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_05_g12_pregain_cproj_group12_ckpt/ckpt_model_iter000500.pt
g12_pregain_cproj_group12,generated_paired_input_grouped,750,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_05_g12_pregain_cproj_group12_ckpt/ckpt_model_iter000750.pt
g12_pregain_cproj_outg12,generated_paired_output_grouped,0,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_06_g12_pregain_cproj_outg12_ckpt/ckpt_model_iter000000.pt
g12_pregain_cproj_outg12,generated_paired_output_grouped,250,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_06_g12_pregain_cproj_outg12_ckpt/ckpt_model_iter000250.pt
g12_pregain_cproj_outg12,generated_paired_output_grouped,500,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_06_g12_pregain_cproj_outg12_ckpt/ckpt_model_iter000500.pt
g12_pregain_cproj_outg12,generated_paired_output_grouped,750,/root/userdata/MappingNetworks/runs/y800_cproj_scalefix_100m_06_g12_pregain_cproj_outg12_ckpt/ckpt_model_iter000750.pt
muon_vanilla,muon_vanilla,3000,/root/userdata/MappingNetworks/metrics/muon_probe_step3000/ckpt_step3000.pt
muon_vanilla,muon_vanilla,7500,/root/userdata/MappingNetworks/runs/y800_probe_muon_vanilla_1b_lr18e4_ckpt/ckpt.pt
