name	phase	tier	optimizer	planned_tokens	planned_tpp	config
y400_canary_350m_ce_sync_muon	phase0_ce_sync_canary	350m	muon	104857600	0.295481	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_canary_350m_ce_sync_muon.json
y400_speed_350m_vanilla_muon	phase1_headline_speed	350m	muon	50000000	0.140896	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_350m_vanilla_muon.json
y400_speed_350m_vanilla_muon_profile	phase1_profiled_breakdown	350m	muon	50000000	0.140896	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_350m_vanilla_muon_profile.json
y400_speed_350m_muon_headline_b8ga32	phase1_microbatch_bracket	350m	muon	50000000	0.140896	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_350m_muon_headline_b8ga32.json
y400_speed_350m_muon_headline_b16ga16	phase1_microbatch_bracket	350m	muon	50000000	0.140896	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_350m_muon_headline_b16ga16.json
y400_speed_350m_muon_headline_b32ga8	phase1_microbatch_bracket	350m	muon	50000000	0.140896	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_350m_muon_headline_b32ga8.json
y400_speed_690m_vanilla_muon	phase1_headline_speed	690m	muon	50000000	0.071903	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_690m_vanilla_muon.json
y400_speed_690m_vanilla_muon_profile	phase1_profiled_breakdown	690m	muon	50000000	0.071903	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_690m_vanilla_muon_profile.json
y400_speed_690m_muon_headline_b8ga32	phase1_microbatch_bracket	690m	muon	50000000	0.071903	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_690m_muon_headline_b8ga32.json
y400_speed_690m_muon_headline_b16ga16	phase1_microbatch_bracket	690m	muon	50000000	0.071903	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_690m_muon_headline_b16ga16.json
y400_speed_690m_muon_headline_b32ga8	phase1_microbatch_bracket	690m	muon	50000000	0.071903	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_690m_muon_headline_b32ga8.json
y400_speed_1b_vanilla_muon	phase1_headline_speed	1b	muon	50000000	0.050738	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_1b_vanilla_muon.json
y400_speed_1b_vanilla_muon_profile	phase1_profiled_breakdown	1b	muon	50000000	0.050738	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_1b_vanilla_muon_profile.json
y400_speed_1b_muon_headline_b8ga32	phase1_microbatch_bracket	1b	muon	50000000	0.050738	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_1b_muon_headline_b8ga32.json
y400_speed_1b_muon_headline_b16ga16	phase1_microbatch_bracket	1b	muon	50000000	0.050738	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_1b_muon_headline_b16ga16.json
y400_speed_1b_muon_headline_b32ga8	phase1_microbatch_bracket	1b	muon	50000000	0.050738	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_speed_1b_muon_headline_b32ga8.json
y400_hpo_350m_0p5tpp_muon_lr11e4	phase2_350m_muon_lr_0p5tpp	350m	muon	177435648	0.500000	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_hpo_350m_0p5tpp_muon_lr11e4.json
y400_hpo_350m_0p5tpp_muon_lr18e4	phase2_350m_muon_lr_0p5tpp	350m	muon	177435648	0.500000	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_hpo_350m_0p5tpp_muon_lr18e4.json
y400_hpo_350m_0p5tpp_muon_lr23e4	phase2_350m_muon_lr_0p5tpp	350m	muon	177435648	0.500000	/root/userdata/MappingNetworks/latent-weight-lab/examples/nanogpt/configs/y400_hpo_350m_0p5tpp_muon_lr23e4.json
